role,company,experience,location,salary,skills,description,job_type,duration,posted_date,job_url
Electronics Engineering,Circuitloop Technologies LLP,0 years (Fresher),,"₹ 10,000 - 13,000 /month",Arduino | ARM Microcontroller | C++ Programming | Circuit Design | C Programming | Embedded Systems | Internet of Things (IoT) | PCB Design | Python | Raspberry Pi | Certificate | Letter of recommendation | Informal dress code,"About the internship Selected intern's day-to-day responsibilities include: 1. Working on the design, developing, assembly, and testing of electronic circuits 2. Working on various ICs and other electronic components 3. Experimenting with various sensors, microcontrollers, and communication hardware 4. Working on Raspberry Pi and Arduino 5. Designing PCBs for prototypes circuit If you are a self-motivated individual with a strong understanding of electronics and a passion for innovation, apply now to be a part of our exciting projects at Circuitloop Technologies LLP! Skill(s) required Arduino ARM Microcontroller C++ Programming Circuit Design C Programming Embedded Systems Internet of Things (IoT) PCB Design Python Raspberry Pi Earn certifications in these skills Learn Arduino Learn C Programming Learn C++ Programming Learn Circuit Design Learn Arduino Programming Learn Embedded Systems Learn Internet of Things Learn Python + 1 more skills Who can apply Only those candidates can apply ",Internship,3 Months,,https://internshala.com/internship/detail/electronics-engineering-internship-in-jaipur-at-circuitloop-technologies-llp1771229751
Data Analytics,Symonis,0 years (Fresher),Work From Home,"₹ 7,500 - 20,000 /month",Data Analytics | Data Science | MS-Excel | Power BI | Python | SQL | Tableau | Certificate | Letter of recommendation | Flexible work hours | 5 days a week,"About the work from home job/internship As a 'data analytics' intern at Symonis, you will have the exciting opportunity to apply your skills in Python, SQL, data analytics, MS Excel, data science, Power BI, and Tableau to help drive key business decisions. Selected intern's day-to-day responsibilites include: 1. Assist in collecting, organizing, and analyzing data from various sources to identify trends and patterns. 2. Develop and maintain databases to store and manage data efficiently. 3. Create impactful data visualizations and reports using Power BI and Tableau for stakeholders. 4. Collaborate with cross-functional teams to gather requirements and provide data-driven insights. 5. Conduct ad-hoc analysis and support ongoing projects to optimize business processes. 6. Learn and apply new analytical techniques to enhance data interpretation and reporting. 7. Present findings and recommendations to management in a clear and concise manner. This role will provide you with hands-on exper",Internship,3 Months,,https://internshala.com/internship/detail/work-from-home-data-analytics-internship-at-symonis1773553499
Machine Learning,Symonis,0 years (Fresher),Work From Home,"₹ 10,000 - 25,000 /month",Artificial intelligence | Data Analytics | Data Science | Deep Learning | Machine Learning | Natural Language Processing (NLP) | Python | Certificate | Letter of recommendation | Flexible work hours | 5 days a week,"About the work from home job/internship Are you a talented machine learning enthusiast eager to gain hands-on experience in a dynamic and cutting-edge environment? Look no further! Symonis is seeking a skilled machine learning intern proficient in Python, data analytics, data science, natural language processing (NLP), deep learning, and artificial intelligence to join our team. Selected intern's day-to-day responsibilities include: 1. Develop and implement machine learning algorithms to improve our products and services. 2. Conduct data analysis and provide insights to drive business decisions. 3. Collaborate with cross-functional teams to integrate machine learning models into existing systems. 4. Research and stay up-to-date on the latest trends in machine learning and artificial intelligence. 5. Assist in the design and development of new machine learning models and techniques. 6. Optimize and fine-tune machine learning models for performance and scalability. 7. Present findings an",Internship,3 Months,,https://internshala.com/internship/detail/work-from-home-machine-learning-internship-at-symonis1773553455
Cyber Security,Diffzene,0 years (Fresher),Work From Home,"₹ 10,000 - 20,000 /month",Computer Networking | Ethical Hacking | Linux | Python | VAPT | Web Application Security | Certificate | Letter of recommendation | Flexible work hours | 5 days a week,"About the work from home job/internship As a Cyber Security intern at Diffzene, you will have the exciting opportunity to apply your knowledge of Python, Computer Networking, Linux, Ethical Hacking, VAPT, and Web Application Security in a real-world setting. Key Responsibilities: 1. Assist in conducting security assessments and penetration testing on systems and networks. 2. Analyze and respond to security incidents, ensuring the integrity of our systems. 3. Collaborate with the IT team to design and implement security measures to protect against cyber threats. 4. Help in monitoring and maintaining the security infrastructure, including firewalls and intrusion detection systems. 5. Identify vulnerabilities in web applications and propose solutions to mitigate risks. 6. Conduct research on emerging cyber threats and suggest preventive measures. 7. Stay up-to-date on the latest security trends and technologies to enhance our security posture. If you are passionate about cybersecurity and",Internship,3 Months,,https://internshala.com/internship/detail/work-from-home-cyber-security-internship-at-diffzene1773481317
Cyber Security Mentor,DevTown,0 years (Fresher),Work From Home,"₹ 8,000 /month",Computer Networking | Ethical Hacking | Linux | Python | VAPT | Web Application Security | Certificate | Letter of recommendation,"About the work from home job/internship Are you a tech-savvy individual with a passion for cyber security and ethical hacking? DevTown is seeking a talented cybersecurity intern to join our dynamic team. If you know Linux, web application security, Python, computer networking, and VAPT, this internship opportunity is perfect for you. As a cybersecurity intern at DevTown, you will have the opportunity to work on exciting projects, gain hands-on experience, and enhance your skills in a fast-paced environment. Selected intern's day-to-day responsibilities include: 1. Conduct vulnerability assessments and penetration testing to identify security weaknesses. 2. Analyze and respond to security incidents, including malware analysis and forensics. 3. Implement security measures to protect systems and data from cyber threats. 4. Assist in developing and implementing security policies and procedures. 5. Monitor network traffic for potential security breaches and intrusions. 6. Collaborate with c",Internship,3 Months,,https://internshala.com/internship/detail/work-from-home-cyber-security-mentor-internship-at-devtown1773472801
Artificial Intelligence (AI),Gharpayy,0 years (Fresher),Work From Home,"₹ 3,000 - 4,000 /month",Artificial intelligence | Data Science | Data Structures | Deep Learning | Machine Learning | Natural Language Processing (NLP) | Neural Networks | Python,"About the work from home job/internship We are looking for a bright and innovative AI intern to join our team at Gharpayy! As an AI intern, you will have the opportunity to work with cutting-edge technology and make a real impact on our company. If you are passionate about artificial intelligence, data science, and natural language processing, then this is the perfect opportunity for you! Selected intern's day-to-day responsibilities include: 1. Develop and implement AI models to improve our products and services. 2. Analyze and interpret data to provide valuable insights for decision-making. 3. Collaborate with cross-functional teams to optimize AI solutions. 4. Research and stay updated on the latest trends in AI technology. 5. Assist in the development of NLP algorithms for better customer interactions. 6. Support in the testing and validation of AI models for accuracy and efficiency. 7. Present findings and recommendations to senior management for strategic planning. Join us at Gha",Internship,2 Months,,https://internshala.com/internship/detail/work-from-home-part-time-artificial-intelligence-ai-internship-at-gharpayy1773471822
Data Science Mentor,DevTown,0 years (Fresher),Work From Home,"₹ 10,000 /month",Data Analysis | Deep Learning | English Proficiency (Spoken) | English Proficiency (Written) | Machine Learning | Python | SQL | Statistics | Certificate | Letter of recommendation,"About the work from home job/internship As a data science mentor intern at DevTown, you will have the opportunity to work with a team of experienced professionals in a dynamic and collaborative environment. Your role will involve providing guidance and support to junior data scientists, helping them develop their skills and enhance their understanding of data science concepts and techniques. Selected intern's day-to-day responsibilities include: 1. Conducting mentoring sessions for learners to guide projects and challenges 2. Developing curriculums and workshops to enhance the learning experience for students 3. Providing feedback and constructive criticism to help students improve their data science skills 4. Collaborating with the team to create a supportive and inclusive learning environment 5. Keeping up-to-date with the latest trends and developments in data science to provide relevant and up-to-date guidance 6. Participating in team meetings and brainstorming sessions to contribu",Internship,3 Months,,https://internshala.com/internship/detail/work-from-home-data-science-mentor-internship-at-devtown1773426551
Machine Learning,Diffzene,0 years (Fresher),Work From Home,"₹ 10,000 - 20,000 /month",Artificial intelligence | Data Analytics | Data Science | Deep Learning | Machine Learning | Natural Language Processing (NLP) | Python | R Programming,"About the work from home job/internship We are seeking a talented Machine Learning intern to join our team at Diffzene. If you have a passion for Python, Data Analytics, Machine Learning, R Programming, Data Science, Natural Language Processing (NLP), Deep Learning, and Artificial Intelligence, this is the perfect opportunity for you to gain hands-on experience in a dynamic and innovative environment. Key responsibilities: 1. Assist in developing and implementing machine learning models to solve complex business problems. 2. Conduct data analysis and provide insights to optimize business processes and strategies. 3. Collaborate with cross-functional teams to identify opportunities for applying machine learning techniques. 4. Perform data preprocessing, feature engineering, and model evaluation to ensure high-quality results. 5. Stay up-to-date on the latest trends and technologies in machine learning and artificial intelligence. 6. Support in the deployment and maintenance of machine l",Internship,3 Months,,https://internshala.com/internship/detail/work-from-home-machine-learning-internship-at-diffzene1773417771
Machine Learning,Hooman Digital LLP,0 years (Fresher),Work From Home,"₹ 15,000 /month",Artificial intelligence | Deep Learning | Jupyter Notebook | LLM evaluation | Machine Learning | Python,"About the work from home job/internship As a Machine Learning intern at Hooman Digital LLP, you will have the opportunity to work on cutting-edge projects in the fields of artificial intelligence, deep learning, and LLM evaluation. You will be part of a dynamic team that is passionate about pushing the boundaries of technology and creating innovative solutions for our clients. Key Responsibilities: 1. Utilize your knowledge of machine learning algorithms to develop models for data analysis and prediction. 2. Collaborate with team members to implement machine learning solutions using Python and Jupyter Notebook. 3. Work on projects related to LLM evaluation, focusing on optimizing performance and accuracy. 4. Assist in researching and experimenting with new machine learning techniques to enhance our products. 5. Contribute to the development and deployment of machine learning models in real-world applications. 6. Analyze and interpret data to provide insights and recommendations for bus",Internship,6 Months,,https://internshala.com/internship/detail/work-from-home-machine-learning-internship-at-hooman-digital-llp1773411028
Business Analytics,Career-Domain,0 years (Fresher),,"₹ 2,000 - 5,000 /month",Data Analytics | English Proficiency (Spoken) | English Proficiency (Written) | MS-Excel | MS-Office | Python | Research and Analytics | SQL | Certificate | Letter of recommendation,"About the internship Selected intern's day-to-day responsibilities include: 1. Collecting, cleaning, and analyzing business data to identify trends and insights 2. Preparing daily and weekly performance reports and dashboards 3. Monitoring key performance indicators (KPIs) and tracking business metrics 4. Conducting market research and competitor analysis 5. Assisting in data-driven decision-making and strategic planning Skill(s) required Data Analytics English Proficiency (Spoken) English Proficiency (Written) MS-Excel MS-Office Python Research and Analytics SQL Earn certifications in these skills Learn Data Analytics Learn Business Communication Learn MS-Excel Learn Python Learn Research and Analytics Learn SQL Who can apply Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 13th Mar'26 and 17th Apr'26 3. are available for duration of 6 months 4. are from Nagpur only 5. have relevant skills and interests Othe",Internship,6 Months,,https://internshala.com/internship/detail/business-analytics-internship-in-nagpur-at-career-domain1773400946
Data Analytics,Career-Domain,0 years (Fresher),,"₹ 2,000 - 5,000 /month",Data Analytics | Data Science | MS-Excel | Power BI | Python | SQL | Tableau | Certificate | Letter of recommendation,"About the internship Selected intern's day-to-day responsibilities include: 1. Collecting, cleaning, and organizing raw data from various sources 2. Analyzing datasets to identify trends, patterns, and insights 3. Preparing daily, weekly, and monthly reports 4. Creating dashboards and data visualizations using tools like Excel, Google Sheets, or BI tools 5. Assisting in performance tracking and KPI analysis 6. Supporting the team with data-driven decision-making 7. Conducting market and competitor research analysis 8. Maintaining accurate records and ensuring data integrity 9. Collaborating with cross-functional teams to understand data requirements 10. Presenting findings in a clear and structured format Skill(s) required Data Analytics Data Science MS-Excel Power BI Python SQL Tableau Earn certifications in these skills Learn Data Analytics Learn Data Science Learn MS-Excel Learn Power BI Learn Python Learn SQL Who can apply Only those candidates can apply who: 1. are available for f",Internship,6 Months,,https://internshala.com/internship/detail/data-analytics-internship-in-nagpur-at-career-domain1773400801
Data Analytics,Tech Analogy,0 years (Fresher),,"₹ 8,000 - 10,000 /month",Data Analytics | Data Science | MS-Excel | Power BI | Python | SQL | Tableau | Certificate | Letter of recommendation,"About the internship Key Responsibilities Collect, clean, and organize data from internal sources. Maintain structured datasets ensuring accuracy, consistency, and proper documentation of information. Track leads from multiple channels including Meta Ads, collaborations, website forms, and internal campaigns. Monitor monthly enrollments, sales performance. Identify patterns and trends in sales data, enrollments, and employee performance. Prepare daily, weekly, and monthly MIS reports for internal review and management meetings. Create graphs, charts, dashboards, and visual reports to present insights clearly. Track individual and team performance metrics. Maintain professional communication with managers and team members, providing timely updates on tasks and reports. Ensure discipline, workplace decorum, and adherence to company policies and reporting timelines. Maintain confidentiality, data integrity, and responsibility while handling company data and internal information. Skill(s) ",Internship,6 Months,,https://internshala.com/internship/detail/data-analytics-internship-in-ahmedabad-at-tech-analogy1773398427
XML Conversion Specialist,QA Solvers,0 years (Fresher),Work From Home,"₹ 2,00,000 - 4,00,000 /month",LLM evaluation | Python | XML | Certificate,"About the work from home job/internship Selected intern's day-to-day responsibilities include: 1. Convert XML documents into required XML formats based on client or project specifications. 2. Perform XML transformation using XSLT, XPath, and related technologies. 3. Troubleshoot and resolve XML parsing, validation, and transformation issues. 4. Ensure adherence to quality standards, turnaround time, and project guidelines. 5. Work closely with quality assurance and production teams to meet delivery requirements. Skill(s) required LLM evaluation Python XML Earn certifications in these skills Learn Python Learn VLSI Learn AI in Data Science Learn Cloud Computing Learn Embedded Systems Learn Data Structures & Algorithms Learn Git & Github Learn React Learn SAS Programming Learn AR/VR Learn Software development Learn Vibe Coding + 5 more skills Who can apply Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/inter",Internship,6 Months,,https://internshala.com/internship/detail/work-from-home-xml-conversion-specialist-internship-at-qa-solvers1773387471
Tender Cost Anlyst - Civil,ETG Research,0 years (Fresher),Work From Home,"₹ 12,000 /month",Data Analysis | MS-Excel | Python | Certificate | Flexible work hours,"About the work from home job/internship Selected intern's day-to-day responsibilities include: 1. Analyze civil construction BOQs and tender documents. 2. Estimate quantities, rate analysis, and total project costing. 3. Assist in preparing bid evaluation reports and comparative costing sheets. 4. Collaborate with data analysts and senior engineers to ensure accuracy and compliance. Skill(s) required Data Analysis MS-Excel Python Earn certifications in these skills Learn MS-Excel Learn Python Who can apply Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 12th Mar'26 and 16th Apr'26 3. are available for duration of 2 months 4. have relevant skills and interests * Women wanting to start/restart their career can also apply. Other requirements 1. B.Tech/B.E. in civil engineering (final-year students and recent graduates can apply). 2. Strong understanding of construction materials and estimati",Internship,2 Months,3 days ago,https://internshala.com/internship/detail/work-from-home-tender-cost-anlyst-civil-internship-at-etg-research1773324190
Teaching Assistant,The Skillians,0 years (Fresher),Work From Home,"₹ 8,000 - 10,000 /month",Data Structures | Python | Certificate,"About the work from home job/internship Selected intern's day-to-day responsibilities include: 1. Resolving student doubts related to data structures & algorithms (DSA) and programming, primarily using the Python programming language, in real-time or within agreed response timelines. 2. Supporting students in understanding DSA concepts and problem-solving techniques through Python-based implementations. 3. Being available for doubt resolution via chat (Slack, WhatsApp, or other platforms used by The Skillians) from Monday to Friday, during mutually agreed working hours. 4. Conducting live doubt-solving sessions via Zoom on weekends (Saturday or Sunday) for a minimum of 4 hours each week, as per scheduled availability. 5. Providing clear, concise, and accurate explanations to help students strengthen their coding and algorithmic thinking skills. 6. Following The Skillians' Code of Conduct, ensuring respectful, ethical, and inclusive communication with learners, peers, and staff at all t",Internship,3 Months,3 days ago,https://internshala.com/internship/detail/work-from-home-teaching-assistant-internship-at-the-skillians1773317132
Internet Of Things (IoT),Scitech Industries,0 years (Fresher),,"₹ 10,000 - 15,000 /month",Embedded Systems | Internet of Things (IoT) | Linux | Python | Raspberry Pi | Certificate | Letter of recommendation | Flexible work hours | Informal dress code | Free snacks & beverages | Job offer,"About the internship Selected intern's day-to-day responsibilities include: 1. Working on Raspberry Pi-based industrial IoT devices and integrating sensors. 2. Assisting in hardware testing, debugging, and device setup. 3. Configuring and testing device communication with backend servers. 4. Helping with device assembly, wiring, and firmware setup. 5. Assisting in field testing and deployment of IoT devices in industrial environments. 6. Documenting hardware setup processes and testing results. Skill(s) required Embedded Systems Internet of Things (IoT) Linux Python Raspberry Pi Earn certifications in these skills Learn Arduino Programming Learn Embedded Systems Learn Internet of Things Learn Python Who can apply Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 12th Mar'26 and 16th Apr'26 3. are available for duration of 4 months 4. are from Delhi, Gurgaon only 5. have relevant skills and interests * Women wa",Internship,4 Months,3 days ago,https://internshala.com/internship/detail/internet-of-things-iot-internship-in-multiple-locations-at-scitech-industries1773301050
Generative AI (Intent To Hire),EROEI Tech Private Limited,0 years (Fresher),,"₹ 12,000 - 15,000 /month",Automation | Computer Vision | FastAPI | Generative AI Tools | LangChain | LLMOps | Node.js | Prompt Engineering | Python | REST API | Certificate | Letter of recommendation | Informal dress code | Free snacks & beverages,"About the internship Selected intern's day-to-day responsibilities include: 1. Develop LLM-based conversational modules for reasoning, summarisation, and user guidance 2. Build and optimise RAG pipelines using LangChain or LangGraph 3. Design and maintain long-term context memory using vector databases such as Pinecone or Qdrant 4. Contribute to multi-agent orchestration, persona design, and conversational flows 5. Support vision-based and multimodal AI features including image analysis and insights 6. Integrate AI components into web applications using FastAPI, Node.js, or similar frameworks 7. Assist in performance tuning, testing, and deployment of AI prototypes 8. Build AI-powered content generation systems for posts, captions, scripts, reels concepts, and prompts 9. Create end-to-end automated workflows including email campaigns, WhatsApp sequences, and lead nurturing 10. Develop trend detection models for content and creative recommendations 11. Collaborate with Growth and Social",Internship,3 Months,3 days ago,https://internshala.com/internship/detail/generative-ai-intent-to-hire-internship-in-bangalore-at-eroei-tech-private-limited1773293040
Machine Learning,Cloud Back,0 years (Fresher),Work From Home,"₹ 15,000 - 20,000 /month",Artificial intelligence | Data Analytics | Data Science | Deep Learning | Machine Learning | Natural Language Processing (NLP) | Python | R Programming | Certificate | Letter of recommendation | Flexible work hours | 5 days a week,"About the work from home job/internship As a machine learning intern at our Cloud Back company, you will have the opportunity to work on cutting-edge projects and gain hands-on experience in the field of artificial intelligence and data science. Your expertise in Python, R programming, data analytics, and natural language processing will be put to the test as you collaborate with our team of experts. Selected intern's day-to-day responsibilities include: 1. Develop and implement machine learning algorithms to improve cloud services' performance. 2. Analyze and interpret data to extract valuable insights and make data-driven decisions. 3. Build and train deep learning models for predictive analytics and pattern recognition. 4. Assist in the development of AI-powered solutions for optimizing cloud infrastructure. 5. Collaborate with cross-functional teams to integrate machine learning capabilities into our products. 6. Stay updated on the latest advancements in machine learning and contr",Internship,3 Months,3 days ago,https://internshala.com/internship/detail/work-from-home-machine-learning-internship-at-cloud-back1773292957
Data Analytics,Unnati Enterprises,0 years (Fresher),,"₹ 50,000 /month",Bubble.io | Data Analytics | Data Science | Django | Express.js | HTML | Java | MongoDB | MS-Excel | MySQL | Node.js | PHP | Power BI | Python | REST API | SQL | Tableau | Certificate | Letter of recommendation | Flexible work hours | Informal dress code | 5 days a week | Free snacks & beverages | Job offer,"About part time job/internship Selected intern's day-to-day responsibilities include: 1. Enhance and extend functionality across multiple domains and services. 2. Design and implement REST APIs for backend services including authentication and authorization. 3. Build and maintain core application business logic to ensure accurate data processing and seamless user experiences. 4. Architect, implement, and manage databases, including schema design, query optimization, and data integrity. 5. Participate in code reviews, provide constructive feedback, and uphold code quality standards. 6. Stay current with industry trends and best practices to introduce innovative solutions across initiatives. Skill(s) required Bubble.io Data Analytics Data Science Django Express.js HTML Java MongoDB MS-Excel MySQL Node.js PHP Power BI Python REST API SQL Tableau Earn certifications in these skills Learn Data Analytics Learn Data Science Learn HTML Learn Java Learn MS-Excel Learn MySQL Learn Node.JS Learn ",Internship,6 Weeks,3 days ago,https://internshala.com/internship/detail/data-analytics-internship-in-multiple-locations-at-unnati-enterprises1773292903
Data Analytics,Cloud Back,0 years (Fresher),Work From Home,"₹ 15,000 - 25,000 /month",Data Analytics | Data Science | MS-Excel | Power BI | Python | SQL | Tableau | Certificate | Letter of recommendation | Flexible work hours | 5 days a week,"About the work from home job/internship As a 'Data Analytics' intern at Cloud Back company, you will have the opportunity to utilize your skills in Python, SQL, MS-Excel, Data Science, Power BI, and Tableau to support our team in analyzing and interpreting complex data sets. Your role will be crucial in helping us make informed business decisions and improve our overall data management processes. Selected intern's day-to-day responsibilites include: 1. Assist in data collection, cleansing, and validation to ensure accuracy and reliability. 2. Create visualizations and reports using tools such as Power BI and Tableau to communicate findings to stakeholders. 3. Conduct statistical analysis and predictive modeling to identify trends and patterns in data. 4. Collaborate with team members to develop data-driven strategies for business growth. 5. Support in creating and maintaining databases to store and manage large volumes of data. 6. Stay up-to-date on the latest data analytics trends and",Internship,3 Months,3 days ago,https://internshala.com/internship/detail/work-from-home-data-analytics-internship-at-cloud-back1773292370
AI Agent Development,Vriddhikar Society,0 years (Fresher),Work From Home,Unpaid,Artificial intelligence | Automation | Prompt Engineering | Python | REST API | Certificate | Letter of recommendation | Flexible work hours,"About the work from home job/internship As an AI agent & automation intern, you'll work on building smart, autonomous workflows using AI tools and automation platforms. You'll play a crucial role in developing internal tools, optimizing operational efficiency, and exploring cutting-edge AI agent architectures. Selected intern's day-to-day responsibilities include: 1. Design and implement autonomous workflows and AI-driven agents to automate internal tasks and business operations. 2. Collaborate with the product team to convert real-world challenges into efficient AI-powered automation solutions. 3. Build and test logic-based systems capable of running with minimal human intervention. 4. Automate recurring research, reporting, and communication tasks to boost productivity. 5. Document processes and contribute to the creation of a scalable internal knowledge base. If you are eager to learn, innovate, and make a lasting impact in the AI space, we want you on our team. Skill(s) required Ar",Internship,2 Months,3 days ago,https://internshala.com/internship/detail/work-from-home-ai-agent-development-internship-at-vriddhikar-society1773290367
Stock Market Trading (Backtesting and Research),Primetrade.ai,0 years (Fresher),Work From Home,"₹ 10,000 - 20,000 /month",Automation | Backend development | Data Analysis | Git | GitHub | Pandas | Python | Risk Management | Statistical Modeling | Stock Trading | Flexible work hours,"About the work from home job/internship Selected intern's day-to-day responsibilities include: 1. Implement indicator-based strategy logic (TradingView-like) on historical data. 2. Build backtesting scripts and compute metrics (return, drawdown, win rate). 3. Document assumptions, risk controls, and failure cases. 4. Produce structured JSON reports and simple charts (optional). 5. Collaborate via GitHub and maintain a reproducible README. Skill(s) required Automation Backend development Data Analysis Git GitHub Pandas Python Risk Management Statistical Modeling Stock Trading Earn certifications in these skills Learn Git Learn Python Learn Statistical Modeling Learn Stocks and Trading Who can apply Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 12th Mar'26 and 16th Apr'26 3. are available for duration of 6 months 4. have relevant skills and interests Other requirements 1. Basic trading kn",Internship,6 Months,4 days ago,https://internshala.com/internship/detail/work-from-home-stock-market-trading-backtesting-and-research-internship-at-primetradeai1773289168
Machine Learning (Modeling + Evaluation),Primetrade.ai,0 years (Fresher),Work From Home,"₹ 10,000 - 15,000 /month",Docker | GitHub | Linux | Logical reasoning | Machine Learning | Python | REST API | Software Testing | Flexible work hours,"About the work from home job/internship Selected intern's day-to-day responsibilities include: 1. Package AI/ML prototypes into reproducible runs (configs, envs). 2. Build simple batch/inference scripts with metrics JSON outputs. 3. Add CI basics (lint/tests) and Dockerize where needed. 4. Track experiments and outputs consistently. 5. Improve reliability (timeouts, retries, graceful failure). Skill(s) required Docker GitHub Linux Logical reasoning Machine Learning Python REST API Software Testing Earn certifications in these skills Learn Git Learn Machine Learning Learn Python Learn Software Testing Who can apply Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 12th Mar'26 and 16th Apr'26 3. are available for duration of 3 months 4. have relevant skills and interests Other requirements 1. Basic knowledge of Docker (preferred). 2. Experience with deployment or pipeline projects, with proje",Internship,3 Months,4 days ago,https://internshala.com/internship/detail/work-from-home-machine-learning-modeling-evaluation-internship-at-primetradeai1773287801
Robotics,Cropper Technologies Private Limited,0 years (Fresher),,"₹ 10,001 - 10,201 /month",Arduino | Mechanical & Electrical Product Design | Python | Raspberry Pi | Robotics | Robot Operating System (ROS) | Certificate,"About the internship Key responsibilities: 1. Candidate will be working on building Robotics Products and Solution 2. Need to work with the team to design and develop Robot products based on specification. 3. Be part of the team presenting the solution to end users. Skill(s) required Arduino Mechanical & Electrical Product Design Python Raspberry Pi Robotics Robot Operating System (ROS) Earn certifications in these skills Learn Arduino Learn Mechanical & Electrical Product Design Learn Python Who can apply Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 11th Mar'26 and 15th Apr'26 3. are available for duration of 6 months 4. have relevant skills and interests Other requirements Candidate must have knowledge on Robotics and ROS or Mechanical Design and Development. Perks Certificate Additional information Stipend Structure: Fixed pay: ₹ 10,000 - 10,001 /month Incentive pay: ₹ 1 - 200 /month Number of openings",Internship,6 Months,4 days ago,https://internshala.com/internship/detail/robotics-internship-in-indore-at-cropper-technologies-private-limited1773227277
Electronics Engineering,Suresh Dani's Classes,0 years (Fresher),,"₹ 2,000 - 2,001 /month",Arduino | ARM Microcontroller | C++ Programming | Circuit Design | C Programming | Embedded Systems | Internet of Things (IoT) | PCB Design | Python | Raspberry Pi | Certificate | Letter of recommendation | 5 days a week,"About the internship Are you a passionate Electronics Engineering student with a knack for Python, ARM Microcontroller, Raspberry Pi, Embedded Systems, Arduino, Circuit Design, C Programming, PCB Design, C++ Programming, and Internet of Things (IoT)? Join us at Suresh Dani's Classes and kickstart your career with hands-on experience in cutting-edge technology. Selected intern's day-to-day responsibilities include: 1. Develop and implement innovative projects using Python, ARM Microcontroller, Raspberry Pi, and IoT. 2. Design and optimize circuits for various electronic devices and systems. 3. Work on embedded systems programming using Arduino and C/C++. 4. Collaborate with the team to create PCB designs for prototype development. 5. Troubleshoot and debug hardware and software issues in electronic devices. 6. Research and stay updated on the latest trends in electronics engineering. 7. Assist in teaching and mentoring other students on advanced electronics concepts. If you are ready to",Internship,1 Week,4 days ago,https://internshala.com/internship/detail/electronics-engineering-internship-in-mumbai-at-suresh-danis-classes1773227256
Data Science,Suresh Dani's Classes,0 years (Fresher),,"₹ 2,000 - 2,001 /month",Artificial intelligence | Data Analytics | Data Science | Deep Learning | Machine Learning | Natural Language Processing (NLP) | Python | SQL | Certificate | Letter of recommendation | 5 days a week,"About the internship Are you a passionate Data Science enthusiast looking to gain practical experience in the field? Join Suresh Dani's Classes as a Data Science intern and take your skills to the next level! Key Responsibilities: 1. Assist in data collection, cleansing, and analysis using Python, SQL, and other tools. 2. Support the development and implementation of machine learning models for various projects. 3. Conduct data analytics to derive valuable insights for the business and clients. 4. Work on projects involving natural language processing (NLP) and deep learning techniques. 5. Collaborate with the team to take on challenging tasks related to artificial intelligence. 6. Research and stay updated on the latest trends and advancements in data science. 7. Present findings and recommendations to the team and contribute to the overall growth of the company. If you are ready to dive into the world of data science and make a real impact, apply now and be part of an exciting journe",Internship,1 Week,4 days ago,https://internshala.com/internship/detail/data-science-internship-in-mumbai-at-suresh-danis-classes1773223570
Cyber Security,Suresh Dani's Classes,0 years (Fresher),,"₹ 2,000 - 2,001 /month",Computer Networking | Ethical Hacking | Linux | Python | VAPT | Web Application Security | Certificate | Letter of recommendation | 5 days a week,"About the internship Are you a Cyber Security enthusiast with a strong skill set in Python, Computer Networking, Linux, Ethical Hacking, VAPT, and Web Application Security? Suresh Dani's Classes is looking for a talented Cyber Security intern to join our team and gain hands-on experience in the field. Key Responsibilities: 1. Conduct security assessments and penetration testing on our systems and networks. 2. Analyze and mitigate security vulnerabilities to protect against cyber threats. 3. Assist in developing and implementing security measures to safeguard sensitive data. 4. Collaborate with team members to enhance overall security posture and practices. 5. Stay up-to-date on the latest cyber threats and security trends to maintain a proactive defense strategy. 6. Participate in security incident response and resolution efforts as needed. 7. Support ongoing security awareness training and education initiatives for our staff. If you are passionate about Cyber Security and eager to lea",Internship,1 Week,4 days ago,https://internshala.com/internship/detail/cyber-security-internship-in-mumbai-at-suresh-danis-classes1773223439
